PROGRAMA: char_sort
 salida de comprobacion de la instruccion que hay en un ciclo en cada etapa
ciclo  CP, dir  BUS, I. hex   DL, I. ascii
                                                   ETAPAS: DL, ALU, M, FMTL, ES         RIESGOS
                                                   DL    ALU   M     FMTL  ES       R.DATOS R.SECUENCIAMIENTO
  213  00000150  00000013     blt x14, x12, xFF0 | DL  | nop | nop | nop | nop      RD:  0  RS:  1
  214  00000128  00000013    addi x0 , x0 , x000 | DLN | A   | nop | nop | nop      RD:  0  RS:  1
  215  0000012C  0007C703    addi x0 , x0 , x000 | DLN | AN  | -   | nop | nop      RD:  0  RS:  0
  216  00000130  0017C683     lbu x14, x000(x15) | DL  | AN  | RN  | -   | nop      RD:  0  RS:  0
  217  00000134  00E6F863     lbu x13, x001(x15) | DL  | A   | RN  | RN  | -        RD:  0  RS:  0
  218  00000138  00D78023    bgeu x13, x14, x008 | DLB | A   | M   | RN  | EN       RD:  1  RS:  1
  219  00000138  00D78023    bgeu x13, x14, x008 | DLB | nop | M   | F   | EN       RD:  1  RS:  1
  220  00000138  00D78023    bgeu x13, x14, x008 | DLB | nop | nop | F   | E        RD:  1  RS:  1
  221  00000138  00D78023    bgeu x13, x14, x008 | DLB | nop | nop | nop | E        RD:  1  RS:  1
  222  00000138  00000013    bgeu x13, x14, x008 | DL  | nop | nop | nop | nop      RD:  0  RS:  1
  223  00000134  00000013    addi x0 , x0 , x000 | DLN | A   | nop | nop | nop      RD:  0  RS:  1
  224  00000138  00D78023    addi x0 , x0 , x000 | DLN | AN  | -   | nop | nop      RD:  0  RS:  0
  225  0000013C  00E780A3      sb x13, x000(x15) | DL  | AN  | RN  | -   | nop      RD:  0  RS:  0
  226  00000140  00150513      sb x14, x001(x15) | DL  | A   | RN  | RN  | -        RD:  0  RS:  0
  227  00000144  00178793    addi x10, x10, x001 | DL  | A   | M   | RN  | EN       RD:  0  RS:  0
